Product Name,Sales,Gross Profit,Units,Gross Margin %,Profit per Unit
Wonka Bar -Scrumdiddlyumptious,27874.8,19357.5,7743,69.44444444444444,2.5
Wonka Bar - Triple Dazzle Caramel,28485.0,18610.2,7596,65.33333333333333,2.45
Wonka Bar - Milk Chocolate,26867.75,17443.37,8267,64.92307692307692,2.11
Wonka Bar - Nutty Crunch Surprise,23574.95,16819.95,6755,71.34670487106017,2.49
Wonka Bar - Fudge Mallows,24890.4,16593.6,6914,66.66666666666666,2.4
Lickable Wallpaper,7860.0,3930.0,393,50.0,10.0
Wonka Gum,597.5,310.7,478,52.0,0.65
Everlasting Gobstopper,130.0,104.0,13,80.0,8.0
Kazookles,1205.75,92.75,371,7.6923076923076925,0.25
Hair Toffee,76.5,59.5,17,77.77777777777779,3.5
Fizzy Lifting Drinks,78.75,47.25,21,60.0,2.25
Laffy Taffy,53.73,33.480000000000004,27,62.31155778894474,1.2400000000000002
SweeTARTS,61.5,28.7,41,46.666666666666664,0.7
Nerds,15.0,7.0,10,46.666666666666664,0.7
Fun Dip,12.0,4.8,8,40.0,0.6
