Product Name,Sales,Gross Profit,Units,Cost,Gross Margin %,Profit per Unit,Cumulative Profit,Cumulative %
Wonka Bar -Scrumdiddlyumptious,27874.8,19357.5,7743,8517.3,69.44444444444444,2.5,19357.5,20.715881801487114
Wonka Bar - Triple Dazzle Caramel,28485.0,18610.2,7596,9874.8,65.33333333333333,2.45,37967.7,40.632023013009025
Wonka Bar - Milk Chocolate,26867.75,17443.37,8267,9424.38,64.92307692307692,2.11,55411.06999999999,59.299453783491074
Wonka Bar - Nutty Crunch Surprise,23574.95,16819.95,6755,6755.0,71.34670487106017,2.49,72231.01999999999,77.29971704615015
Wonka Bar - Fudge Mallows,24890.4,16593.6,6914,8296.8,66.66666666666666,2.4,88824.62,95.05774655725214
Lickable Wallpaper,7860.0,3930.0,393,3930.0,50.0,10.0,92754.62,99.26352806208719
Wonka Gum,597.5,310.7,478,286.8,52.0,0.65,93065.31999999999,99.59603094085367
Everlasting Gobstopper,130.0,104.0,13,26.0,80.0,8.0,93169.31999999999,99.7073289755872
Kazookles,1205.75,92.75,371,1113.0,7.6923076923076925,0.25,93262.06999999999,99.80658755944813
Hair Toffee,76.5,59.5,17,17.0,77.77777777777779,3.5,93321.56999999999,99.87026287739666
Fizzy Lifting Drinks,78.75,47.25,21,31.5,60.0,2.25,93368.81999999999,99.92082857106166
Laffy Taffy,53.73,33.480000000000004,27,20.25,62.31155778894474,1.2400000000000002,93402.29999999999,99.95665797685857
SweeTARTS,61.5,28.7,41,32.8,46.666666666666664,0.7,93430.99999999999,99.98737195375138
Nerds,15.0,7.0,10,8.0,46.666666666666664,0.7,93437.99999999999,99.99486316762768
Fun Dip,12.0,4.8,8,7.2,40.0,0.6,93442.79999999999,100.0
