Product Name,Sales,Gross Profit,Units,Cost,Gross Margin %,Profit per Unit
Everlasting Gobstopper,130.0,104.0,13,26.0,80.0,8.0
Fizzy Lifting Drinks,78.75,47.25,21,31.5,60.0,2.25
Fun Dip,12.0,4.8,8,7.2,40.0,0.6
Hair Toffee,76.5,59.5,17,17.0,77.77777777777779,3.5
Kazookles,1205.75,92.75,371,1113.0,7.6923076923076925,0.25
Laffy Taffy,53.73,33.480000000000004,27,20.25,62.31155778894474,1.2400000000000002
Lickable Wallpaper,7860.0,3930.0,393,3930.0,50.0,10.0
Nerds,15.0,7.0,10,8.0,46.666666666666664,0.7
SweeTARTS,61.5,28.7,41,32.8,46.666666666666664,0.7
Wonka Bar - Fudge Mallows,24890.4,16593.6,6914,8296.8,66.66666666666666,2.4
Wonka Bar - Milk Chocolate,26867.75,17443.37,8267,9424.38,64.92307692307692,2.11
Wonka Bar - Nutty Crunch Surprise,23574.95,16819.95,6755,6755.0,71.34670487106017,2.49
Wonka Bar - Triple Dazzle Caramel,28485.0,18610.2,7596,9874.8,65.33333333333333,2.45
Wonka Bar -Scrumdiddlyumptious,27874.8,19357.5,7743,8517.3,69.44444444444444,2.5
Wonka Gum,597.5,310.7,478,286.8,52.0,0.65
